"cancer" "mutation" "mu0" "mu1" "mu"
"BLCA" "TCT_A" -18.3688104009017 1.08849270182986 -13.0063927568675
"BLCA" "TCT_G" -17.5489228552805 1.30671921872099 -11.0319977701407
"BLCA" "TCT_T" -17.8754533090755 1.31075929211694 -11.3369472275502
"BLCA" "TTA_A" -18.3604033496728 0.807511218548896 -14.4496132267187
"BLCA" "TTA_C" -18.0947691548188 0.943239052187307 -13.4879310567722
"BLCA" "TTA_G" -17.694823038617 0.605950513048593 -14.7986937812682
"BLCA" "TTC_A" -19.8634435061345 0.999588017696326 -14.9647657849228
"BLCA" "TTC_C" -19.7082680867233 1.0815936487484 -14.3819782184412
"BLCA" "TTC_G" -19.6917244378862 0.903149708120093 -15.291504257647
"BLCA" "TTG_A" -19.8083575816552 1.0137564172107 -14.8360424358071
"BLCA" "TTG_C" -18.3346913589775 0.882758524937624 -14.0392383720299
"BLCA" "TTG_G" -18.3606348151636 0.703993019113009 -14.9738832766367
"BLCA" "TTT_A" -19.5896651705041 0.958207573201827 -14.9054635794921
"BLCA" "TTT_C" -18.3150528607623 0.793689334520277 -14.4745817900831
"BLCA" "TTT_G" -19.7007691107596 0.975408790013591 -14.9275204921066
"BRCA" "ACA_A" -17.3496455773707 0.729582628094581 -14.9518061371381
"BRCA" "ACA_G" -18.5872063645473 0.988705019692221 -15.1652712753004
"BRCA" "ACA_T" -17.3957636665854 0.859262374418554 -14.4961646756617
"BRCA" "ACC_A" -17.0248301140105 0.734429180315086 -14.60862853496
"BRCA" "ACC_G" -18.3483655411496 0.934534521122458 -15.1476250356927
"BRCA" "ACC_T" -17.1409344533382 0.748381314849199 -14.6717026046931
"BRCA" "ACG_A" -17.0956489703131 0.701814314625526 -14.8024279854581
"BRCA" "ACG_G" -17.5948855082754 0.860374550514308 -14.6908897819662
"BRCA" "ACG_T" -13.3891644984433 0.481306150410084 -11.8907433497192
"BRCA" "ACT_A" -17.8883466070016 0.821527458868988 -15.1369842762263
"BRCA" "ACT_G" -18.418567133856 0.980928371392963 -15.0286162395045
"BRCA" "ACT_T" -17.3582056739115 0.797355686944179 -14.7008381983445
"BRCA" "ATA_A" -17.8708619981541 0.746838039487278 -15.4075083304716
"BRCA" "ATA_C" -16.4149938873804 0.655522414670386 -14.2939486690621
"BRCA" "ATA_G" -18.8653101790798 0.875693038942488 -15.9005951299002
"BRCA" "ATC_A" -17.8667390540715 0.789461471475179 -15.2399063606016
"BRCA" "ATC_C" -18.0622566729696 0.869915674057799 -15.1204771918992
"BRCA" "ATC_G" -18.7952427934691 0.721094117162817 -16.4294904274755
"BRCA" "ATG_A" -18.0573892125042 0.737137327989634 -15.6309140199977
"BRCA" "ATG_C" -17.4419055000514 0.77768991474529 -14.8604560247237
"BRCA" "ATG_G" -18.8301729535294 0.820319458545837 -16.0835259065315
"BRCA" "ATT_A" -17.9660737401629 0.742755160024534 -15.5182564935749
"BRCA" "ATT_C" -16.6802102151152 0.662556968719482 -14.5331813142723
"BRCA" "ATT_G" -18.8607945776201 0.840440905006232 -16.0353615728258
"BRCA" "CCA_A" -18.548067370989 0.966604381586774 -15.2168273896136
"BRCA" "CCA_G" -18.942572961474 1.00751332628402 -15.4429639998113
"BRCA" "CCA_T" -17.3945670660471 0.870563235423474 -14.4502189563831
"BRCA" "CCC_A" -17.8733292816187 0.861733494657072 -14.9639591276802
"BRCA" "CCC_G" -18.2698129769493 0.883120597717427 -15.275548494378
"BRCA" "CCC_T" -17.1258023941675 0.774184796527461 -14.557831789121
"BRCA" "CCG_A" -17.6784491223468 0.83296562412159 -14.8823464123435
"BRCA" "CCG_G" -17.4287404418689 0.784706066990867 -14.8202628920157
"BRCA" "CCG_T" -14.3180105743282 0.57773124045612 -12.4799676537082
"BRCA" "CCT_A" -18.2077292688342 0.904117346417194 -15.1295507276168
"BRCA" "CCT_G" -18.2437231540853 0.926112894576301 -15.0770347070336
"BRCA" "CCT_T" -17.3786776243541 0.825256516286041 -14.6127475433626
"BRCA" "CTA_A" -18.7250054296179 0.874577103870633 -15.7647238630216
