"cancer" "samples" "ntotal"
"BLCA" 503 21
"BLCA" 503 86
"BLCA" 503 48
"BLCA" 503 78
"BLCA" 503 240
"BLCA" 503 38
"BLCA" 503 90
"BLCA" 503 73
"BLCA" 503 103
"BLCA" 503 56
"BLCA" 503 124
"BLCA" 503 273
"BLCA" 503 49
"BLCA" 503 177
"BLCA" 503 119
"BLCA" 503 83
"BLCA" 503 149
"BLCA" 503 86
"BLCA" 503 297
"BLCA" 503 113
"BLCA" 503 75
"BLCA" 503 84
"BLCA" 503 219
"BLCA" 503 45
"BLCA" 503 288
"BLCA" 503 162
"BLCA" 503 28
"BLCA" 503 116
"BLCA" 503 126
"BLCA" 503 172
"BLCA" 503 209
"BLCA" 503 47
"BLCA" 503 150
"BLCA" 503 570
"BLCA" 503 286
"BLCA" 503 66
"BLCA" 503 225
"BLCA" 503 490
"BLCA" 503 498
"BLCA" 503 168
"BLCA" 503 181
"BLCA" 503 85
"BLCA" 503 78
"BLCA" 503 126
"BLCA" 503 92
"BLCA" 503 115
"BLCA" 503 222
"BLCA" 503 51
"BLCA" 503 104
"BLCA" 503 156
"BLCA" 503 476
"BLCA" 503 144
"BLCA" 503 148
"BLCA" 503 240
"BLCA" 503 72
"BLCA" 503 67
"BLCA" 503 166
"BLCA" 503 138
"BLCA" 503 155
"BLCA" 503 118
"BLCA" 503 88
"BLCA" 503 64
"BLCA" 503 37
"BLCA" 503 80
"BLCA" 503 128
"BLCA" 503 274
"BLCA" 503 223
"BLCA" 503 219
"BLCA" 503 108
"BLCA" 503 77
"BLCA" 503 53
"BLCA" 503 199
"BLCA" 503 312
"BLCA" 503 94
"BLCA" 503 58
"BLCA" 503 114
"BLCA" 503 307
"BLCA" 503 93
"BLCA" 503 98
"BLCA" 503 108
"BLCA" 503 226
"BLCA" 503 55
"BLCA" 503 91
"BLCA" 503 68
"BLCA" 503 53
"BLCA" 503 256
"BLCA" 503 192
"BLCA" 503 138
"BLCA" 503 45
"BLCA" 503 63
"BLCA" 503 101
"BLCA" 503 607
"BLCA" 503 124
