"cancer" "role" "samples" "n" "n_uniq" "n_expected" "log_mu_observed" "log_mu_expected" "df" "LL_model0" "LL_model1" "LL_model96" "LL0_model0" LL0_model1" "LL0_model96" "LL0_ABC"
"cancer" "ROLE" "type" "n" "n_uniq" "k" "pred_nmut" "pred_mut00" "pred_nmut00" "m00" "m1_pois" "m10_pois" "exc_pv" "m1_rate" "m10_rate" "m0_pois" "m1_rate0"
"DLBCL" "no_specific" "miss" 257 252 8064 -12.9167631093794 -13.5931976160733 -13.4637404575794 -1068.94139639618 -944.2571939647 -1115.58674914348 1.68559577115226e-11 -948.909278259062 -1115.58674914348 -946.414556149564 -166.933619888665
"DLBCL" "Act" "miss" 89 76 8064 -12.813201629271 -13.7218447809975 -13.3415226321666 -481.637716359326 -464.27175479111 -496.335866128544 3.96238707317609e-65 -452.019733553335 -496.335866128544 -468.068875801262 -116.730567297098
"DLBCL" "LoF" "miss" 235 202 8064 -12.8996957512191 -14.0635317252301 -13.4433397528853 -1054.49873207554 -1021.01391880805 -1052.071508798 8.90809843008253e-144 -991.366554588298 -1052.071508798 -1033.98053431848 -233.598538607043
"ESCA" "no" "miss" 45651 45298 58272 -12.7912803381107 -13.0501202762668 -13.0496304736067 -81448.802596532 -55606.3188413072 -87626.9628892031 0.206914068473639 -56529.3567826479 -87626.9628892031 -55606.3560266492 -362.44736666816
"ESCA" "no_all" "miss" 43600 43263 58272 -12.7904527271801 -13.0487439639352 -13.0487439639352 -78897.2253878416 -54159.8068784843 -84788.6329952132 0.498726279069482 -55037.8067249571 -84788.6329952132 -54159.8068784843 -357.23279692631
"ESCA" "no_specific" "miss" 2051 2035 58272 -12.8105015802567 -13.079377817787 -13.070219637465 -8665.76518373087 -7552.58493019037 -8946.14833797788 3.67510939058186e-05 -7598.45697077244 -8946.14833797788 -7553.50400513012 -274.660606128131
"ESCA" "Act" "miss" 356 295 58272 -12.8129265321076 -13.1310490740183 -13.0740010984254 -2132.51876530934 -1928.65541295986 -2156.30897129921 1.0518456863256e-66 -1938.5261325611 -2156.30897129921 -1930.97157559536 -204.569359729778
"ESCA" "LoF" "miss" 1024 807 58272 -12.8791650247867 -13.2001871786309 -13.1370720014533 -5082.09712084698 -4661.83707590129 -5278.84400613103 2.72523834976568e-207 -4694.21473042146 -5278.84400613103 -4662.69252709051 -306.991601753884
"GBM" "no" "miss" 12899 12625 34368 -12.8930215674527 -13.1455761524587 -13.134410260467 -31589.2565390541 -18915.655135457 -36280.0604570108 0.304693999142704 -19149.3115760748 -36280.0604570108 -18915.9354571976 -292.915379885762
"GBM" "no_all" "miss" 12257 12022 34368 -12.8894781189853 -13.1311121328539 -13.1311121328539 -30373.5421844353 -18209.798378968 -34847.6605658502 0.497597728410755 -18411.5827900982 -34847.6605658502 -18209.798378968 -286.322489733322
"GBM" "no_specific" "miss" 642 603 34368 -12.9672996720062 -13.4217217728563 -13.203545925887 -3204.72716876814 -2684.73327352615 -3417.98120411307 0.00917789453309471 -2717.88974264636 -3417.98120411307 -2690.19640571517 -208.743343002639
"GBM" "Act" "miss" 210 116 34368 -12.7546407581251 -13.7850795227517 -13.0035708706757 -1299.17840721503 -1182.8163929959 -1329.21298599097 1.01932707450377e-145 -1183.26213886297 -1329.21298599097 -1188.87123154288 -196.410073968793
"GBM" "LoF" "miss" 236 178 34368 -13.2036281971629 -13.8237557688375 -13.4271101519431 -1430.69546560624 -1314.58269092297 -1505.45693732326 1.90661946997586e-111 -1316.44229868364 -1505.45693732326 -1318.70010032536 -182.648339368063
"HC" "no" "miss" 76857 74438 148416 -13.2133091751581 -13.8429571668871 -13.8423347079943 -128644.782973968 -109120.886573898 -134351.222053756 0.0190269396861617 -110794.542540028 -134351.222053756 -109120.889423865 -399.737778819729
"HC" "no_all" "miss" 73113 70877 148416 -13.212689890853 -13.8417029161876 -13.8417029161876 -124732.460841748 -105994.582731375 -130121.238876751 0.499016396135579 -107650.115712517 -130121.238876751 -105994.582731375 -394.480268161713
"HC" "no_specific" "miss" 3744 3561 148416 -13.227587665946 -13.8674502308269 -13.8569015772307 -15600.6402389643 -14807.4309060351 -15916.4055070381 2.07049743433365e-23 -14825.3616579461 -15916.4055070381 -14807.5327965276 -306.359859562462
"HC" "Act" "miss" 808 405 148416 -13.2230080368203 -14.1609253083903 -13.8536650465577 -5252.53841326489 -5179.61650519741 -5231.64484138259 2.75509553874919e-267 -5175.44476187054 -5231.64484138259 -5180.72355300167 -527.486239950151
"HC" "LoF" "miss" 1144 947 148416 -13.265300185841 -13.8954951871252 -13.8964714380785 -6596.33711422865 -6381.23916150571 -6715.81175187657 5.25089892893885e-110 -6386.8245217754 -6715.81175187657 -6381.2571967719 -328.745345405391
