"cancer" "role" "samples" "n" "n_uniq" "n_expected" "log_mu_observed" "log_mu_expected" "df" "LL_model0" "LL_model1" "LL_model96" "LL0_model0" LL0_model1" "LL0_model96" "LL0_ABC"
"cancer" "ROLE" "type" "n" "n_uniq" "k" "pred_nmut" "pred_mut00" "pred_nmut00" "m00" "m1_pois" "m10_pois" "exc_pv" "m1_rate" "m10_rate" "m0_pois" "m1_rate0"
"NHLY" "LoF" "miss" 408 318 20928 -13.2505449907604 -14.3487474052027 -13.9032357793813 -1931.07280656073 -1846.31769247513 -1977.19467706906 0 -1857.01319229458 -1977.19467706906 -1855.18524972804 -314.472198774872
"OV" "no" "miss" 9903 9896 18240 -13.5268030270842 -13.7710704660915 -13.7716084073207 -17470.9751341145 -14704.0116012916 -18137.8714686489 0.303138376943109 -14833.2927183884 -18137.8714686489 -14704.0140587867 -300.237511951713
"OV" "no_all" "miss" 9397 9390 18240 -13.5259134334784 -13.7706459413304 -13.7706459413304 -16892.5008556046 -14259.1310448445 -17519.2192457498 0.497256416470269 -14384.2074665203 -17519.2192457498 -14259.1310448445 -295.042685566259
"OV" "no_specific" "miss" 506 506 18240 -13.5451568367723 -13.7789543775157 -13.7914656966516 -2239.12941646765 -2106.67604296701 -2280.975319377 0.00922820971384948 -2110.86960869982 -2280.975319377 -2106.71216745011 -205.940234729059
"OV" "Act" "miss" 14 14 18240 -13.5066109122152 -13.4415743482239 -13.7497493121648 -119.331972073615 -109.390049519139 -121.362983991129 0.0144936615018359 -111.547846877841 -121.362983991129 -110.618846850526 -35.6548535199439
"OV" "LoF" "miss" 155 111 18240 -13.5939423149649 -13.6895254704375 -13.8452691147779 -911.452186029885 -880.745595807583 -949.222190543091 3.86393845593723e-48 -875.457136260382 -949.222190543091 -883.038364561193 -163.562054173491
"PAAD" "no" "miss" 17733 16686 76992 -13.2208080331776 -13.7049268029095 -13.7000960655553 -45211.2250004338 -28391.1711712306 -51221.4295266767 0.291240816854001 -28988.7694576938 -51221.4295266767 -28391.2232494638 -308.535097530037
"PAAD" "no_all" "miss" 16899 15909 76992 -13.218501892863 -13.6975068245142 -13.6975068245142 -43615.5712746414 -27461.533931102 -49337.1162577705 0.497954097100053 -28044.7470438629 -49337.1162577705 -27461.533931102 -303.085835071343
"PAAD" "no_specific" "miss" 834 777 76992 -13.2719814589769 -13.8552747824076 -13.7575515176176 -4322.70286189538 -3651.61421189718 -4608.8502469688 0.00454596355551064 -3665.85042036671 -4608.8502469688 -3652.61902741575 -213.461331864344
"PAAD" "Act" "miss" 824 103 76992 -13.251769427072 -15.0503926484193 -13.7342340355891 -4916.89792078834 -5021.90174633864 -4983.23031952551 0 -4822.38925444476 -4983.23031952551 -5178.96483219574 -2041.19191080387
"PAAD" "LoF" "miss" 648 386 76992 -13.4037640589369 -14.0849383685852 -13.9034943954311 -3949.95062890738 -3616.96149118532 -4194.43115162638 1.41068172580766e-289 -3569.69290918988 -4194.43115162638 -3619.38588747156 -291.853362054901
"PRAD" "no" "miss" 16125 15698 92832 -14.1380258011637 -14.4485245916405 -14.4398231227194 -43733.6147176555 -34681.0169325104 -47614.0081916876 0.211146151283109 -34850.9833993181 -47614.0081916876 -34681.2357115511 -316.449817834369
"PRAD" "no_all" "miss" 15371 14959 92832 -14.136433471062 -14.4381553908763 -14.4381553908763 -42298.193587321 -33539.6942654777 -46020.7873037153 0.497855373365639 -33705.6771954555 -46020.7873037153 -33539.6942654777 -311.43903597339
"PRAD" "no_specific" "miss" 754 739 92832 -14.1755088599988 -14.6599105133203 -14.4790811200221 -4243.65113530261 -3941.61745792401 -4399.34883155942 5.17168479261786e-05 -3944.775603817 -4399.34883155942 -3946.1781734444 -217.822314334095
"PRAD" "Act" "miss" 242 153 92832 -14.1818236210901 -14.9450465209905 -14.4860066913485 -1680.2136158578 -1632.66520142685 -1714.28900400441 2.14033757555233e-70 -1625.57230625613 -1714.28900400441 -1643.58671076236 -244.02654615248
"PRAD" "LoF" "miss" 282 235 92832 -14.3156793126139 -14.7868701357283 -14.6262342684052 -1919.43561236749 -1838.00164793456 -1990.79596221547 1.01836638923344e-53 -1839.75691896645 -1990.79596221547 -1839.29379379894 -188.958582414791
"RCCC" "no" "miss" 18199 18184 44064 -14.0142380605908 -14.1764841070325 -14.1729992939212 -36334.767969439 -33264.1422236681 -37091.8157663452 0.201242421699402 -33385.3071199147 -37091.8157663452 -33264.1863718069 -334.410971752974
"RCCC" "no_all" "miss" 17231 17216 44064 -14.0137798409721 -14.1725841850645 -14.1725841850645 -35145.560571727 -32186.5798114627 -35875.2956574543 0.497973911807755 -32301.8160886727 -35875.2956574543 -32186.5798114627 -328.806591102077
"RCCC" "no_specific" "miss" 968 968 44064 -14.0234623236856 -14.2459051353703 -14.1813557089478 -4556.68826817918 -4442.01764838586 -4582.14097698274 8.08775498135095e-05 -4444.70857367191 -4582.14097698274 -4442.85724439142 -244.486418872709
"RCCC" "Act" "miss" 70 63 44064 -14.0612176298956 -14.3560673883935 -14.2183276121648 -516.222438124927 -512.41303262538 -515.385301823489 1.90353749293817e-24 -510.459482082664 -515.385301823489 -512.691120302581 -105.297290363462
"RCCC" "LoF" "miss" 240 211 44064 -14.0758771708382 -14.3413110357679 -14.2314627498127 -1474.99263551637 -1463.743457276 -1482.21832236699 2.22068588207348e-79 -1463.15155478235 -1482.21832236699 -1467.14245262528 -198.897662391235
"RPC" "no" "miss" 11558 11548 26784 -14.0441237310364 -14.1642988972389 -14.163092367427 -22627.9934290735 -20860.0721640855 -22953.0804392967 0.207659795314874 -20937.3443932322 -22953.0804392967 -20860.0799130647 -312.490530001905
"RPC" "no_all" "miss" 10917 10910 26784 -14.0437715675949 -14.1626911435068 -14.1626911435068 -21872.9227601502 -20187.047442223 -22181.71974649 0.497454564666957 -20262.1819449985 -22181.71974649 -20187.047442223 -307.539802524041
"RPC" "no_specific" "miss" 641 638 26784 -14.0510594703207 -14.1916808746085 -14.1709943361646 -2983.77975981877 -2902.66007674494 -3001.47008346778 0.000147942948178309 -2904.65205285428 -3001.47008346778 -2902.84265044639 -211.452777661519
"RPC" "Act" "miss" 51 35 26784 -14.0938170925494 -14.2593957671619 -14.2164852010555 -372.822628235384 -364.269345416999 -370.21337095833 1.4077319753821e-25 -364.75196803256 -370.21337095833 -365.583885393496 -98.9792664968274
"RPC" "LoF" "miss" 65 65 26784 -14.0675932556039 -14.2702573685086 -14.1898036186078 -448.562376279462 -447.71410836113 -453.180224636099 1.68008102272918e-12 -447.506786160245 -453.180224636099 -447.867494180547 -100.787689780044
"BLCA" "no" "miss" 71322 70184 48288 -11.7727233693318 -12.0998218391077 -12.0978889226587 -126226.718745005 -55328.3408922856 -129191.294203152 0.00387470573997115 -57593.0958352607 -129191.294203152 -55328.3789961303 -369.800431478381
